gl	count	Percentage	color	Purity
100	928	44.766	blue	100
95	692	33.382	blue	95
90	90	4.342	blue	90
85	51	2.46	blue	85
80	46	2.219	blue	80
75	49	2.364	blue	75
70	37	1.785	blue	70
65	33	1.592	blue	65
60	37	1.785	blue	60
55	30	1.447	blue	55
50	40	1.93	blue	50
45	10	0.482	blue	45
40	8	0.386	blue	40
35	9	0.434	blue	35
30	1	0.048	blue	30
25	4	0.193	blue	25
20	1	0.048	blue	20
15	5	0.241	blue	15
10	2	0.096	blue	10
5	0	0	blue	5
0	0	0	blue	0
gl	count	Percentage	color	Purity
100	928	44.766	blue	100
95	692	33.382	blue	95
90	90	4.342	blue	90
85	51	2.46	blue	85
80	46	2.219	blue	80
75	49	2.364	blue	75
70	37	1.785	blue	70
65	33	1.592	blue	65
60	37	1.785	blue	60
55	30	1.447	blue	55
50	40	1.93	blue	50
45	10	0.482	blue	45
40	8	0.386	blue	40
35	9	0.434	blue	35
30	1	0.048	blue	30
25	4	0.193	blue	25
20	1	0.048	blue	20
15	5	0.241	blue	15
10	2	0.096	blue	10
5	0	0	blue	5
0	0	0	blue	0
