SampleID	Count	Purity	ASV	Taxonomy	Count2	Purity2	ASV2	Taxonomy2
L1P22E2	290	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P24F2	263	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P07F11	224	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P13F10	209	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P37F6	207	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P06D11	201	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P08F5	188	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P09E4	188	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P15E8	186	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P25B8	186	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P31E5	186	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P04D7	183	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P15D2	182	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P40C3	171	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P04E6	166	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P21H7	165	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P24A10	165	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P28F3	164	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P25D7	161	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P15E8	159	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P04H3	157	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P44F4	156	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P46F11	155	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P21D5	153	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P34C6	153	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P34E4	153	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P36C2	153	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P48D4	153	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P37G8	151	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P34E11	150	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P48E8	150	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P29F2	149	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P11H11	148	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P45D9	148	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P08F12	148	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P41D5	146	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P14E10	146	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P37A9	144	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P31H3	144	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L2P33B3	144	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P04B7	143	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
L1P31C11	143	100	ASV_1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax_avenae	0	NA	NA	NA
