#OTU	A50
OTU_13	1950.0
OTU_1	4738.0
OTU_58	280.0
OTU_283	3.0
OTU_56	0.0
OTU_43	1.0
OTU_24	495.0
OTU_134	0.0
OTU_6	12.0
OTU_5	1296.0
OTU_235	2.0
OTU_47	199.0
OTU_2	2632.0
OTU_237	77.0
OTU_193	5.0
OTU_196	55.0
OTU_663	0.0
OTU_7	32.0
OTU_11	25.0
OTU_436	10.0
OTU_4	1118.0
OTU_38	102.0
OTU_187	19.0
OTU_182	1.0
OTU_74	2.0
OTU_228	9.0
OTU_3	4010.0
OTU_14	804.0
OTU_52	15.0
OTU_106	29.0
OTU_92	84.0
OTU_76	222.0
OTU_430	37.0
OTU_887	0.0
OTU_79	147.0
OTU_18	195.0
OTU_86	4.0
OTU_926	0.0
OTU_186	1.0
OTU_557	276.0
OTU_114	5.0
OTU_29	116.0
OTU_17	1032.0
OTU_9	0.0
OTU_10	562.0
OTU_293	0.0
OTU_40	1.0
OTU_80	3.0
OTU_488	0.0
OTU_12	310.0
OTU_209	13.0
OTU_98	108.0
OTU_89	168.0
OTU_150	93.0
OTU_776	1.0
OTU_120	72.0
OTU_8	1254.0
OTU_447	5.0
OTU_180	1.0
OTU_45	18.0
OTU_174	0.0
OTU_15	398.0
OTU_764	26.0
OTU_83	2.0
OTU_116	14.0
OTU_130	58.0
OTU_158	5.0
OTU_724	9.0
OTU_179	22.0
OTU_812	0.0
OTU_175	29.0
OTU_177	47.0
OTU_109	83.0
OTU_183	35.0
OTU_124	0.0
OTU_151	2.0
OTU_21	149.0
OTU_44	1.0
OTU_1063	0.0
OTU_90	62.0
OTU_82	81.0
OTU_145	30.0
OTU_25	709.0
OTU_54	3.0
OTU_649	44.0
OTU_41	127.0
OTU_27	497.0
OTU_57	121.0
OTU_99	12.0
OTU_68	3.0
OTU_49	0.0
OTU_69	32.0
OTU_20	26.0
OTU_522	0.0
OTU_138	17.0
OTU_443	6.0
OTU_585	3.0
OTU_26	16.0
OTU_157	4.0
OTU_102	111.0
OTU_42	6.0
OTU_16	7.0
OTU_32	273.0
OTU_1099	0.0
OTU_208	23.0
OTU_93	13.0
OTU_46	16.0
OTU_893	0.0
OTU_117	2.0
OTU_259	1.0
OTU_31	228.0
OTU_314	1.0
OTU_761	4.0
OTU_30	22.0
OTU_22	7.0
OTU_37	0.0
OTU_363	0.0
OTU_778	9.0
OTU_163	3.0
OTU_249	2.0
OTU_39	3.0
OTU_1092	0.0
OTU_59	12.0
OTU_173	30.0
OTU_791	0.0
OTU_77	55.0
OTU_361	0.0
OTU_71	61.0
OTU_165	17.0
OTU_167	14.0
OTU_211	35.0
OTU_565	12.0
OTU_1018	8.0
OTU_779	0.0
OTU_793	12.0
OTU_112	2.0
OTU_23	362.0
OTU_137	7.0
OTU_380	101.0
OTU_60	1.0
OTU_760	9.0
OTU_132	0.0
OTU_473	0.0
OTU_126	76.0
OTU_192	4.0
OTU_73	1.0
OTU_378	6.0
OTU_133	43.0
OTU_35	164.0
OTU_78	9.0
OTU_64	9.0
OTU_427	0.0
OTU_339	2.0
OTU_282	0.0
OTU_961	3.0
OTU_67	213.0
OTU_291	1.0
OTU_108	87.0
OTU_482	11.0
OTU_61	12.0
OTU_110	288.0
OTU_236	5.0
OTU_87	1.0
OTU_505	1.0
OTU_185	11.0
OTU_51	21.0
OTU_613	0.0
OTU_685	9.0
OTU_178	0.0
OTU_367	96.0
OTU_684	2.0
OTU_1104	36.0
OTU_75	11.0
OTU_190	27.0
OTU_129	7.0
OTU_702	2.0
OTU_19	1.0
OTU_121	20.0
OTU_50	8.0
OTU_81	57.0
OTU_213	1.0
OTU_85	0.0
OTU_533	0.0
OTU_147	27.0
OTU_96	52.0
OTU_583	0.0
OTU_726	0.0
OTU_149	3.0
OTU_142	31.0
OTU_257	0.0
OTU_53	21.0
OTU_814	0.0
OTU_34	44.0
OTU_55	108.0
OTU_188	30.0
OTU_105	54.0
OTU_369	0.0
OTU_489	4.0
OTU_28	3.0
OTU_215	3.0
OTU_33	157.0
OTU_176	16.0
OTU_790	37.0
OTU_344	3.0
OTU_540	0.0
OTU_162	3.0
OTU_262	3.0
OTU_36	43.0
OTU_888	0.0
OTU_125	0.0
OTU_72	3.0
OTU_164	0.0
OTU_268	5.0
OTU_399	10.0
OTU_226	0.0
OTU_532	0.0
OTU_1038	181.0
OTU_521	1.0
OTU_429	18.0
OTU_148	27.0
OTU_97	1.0
OTU_386	0.0
OTU_227	0.0
OTU_343	33.0
OTU_955	1.0
OTU_368	27.0
OTU_523	1.0
OTU_140	3.0
OTU_720	1.0
OTU_434	2.0
OTU_113	3.0
OTU_383	6.0
OTU_1084	1.0
OTU_382	2.0
OTU_549	1.0
OTU_949	0.0
OTU_254	11.0
OTU_84	68.0
OTU_785	4.0
OTU_558	0.0
OTU_315	2.0
OTU_154	49.0
OTU_1130	5.0
OTU_592	0.0
OTU_739	0.0
OTU_288	10.0
OTU_1134	2.0
OTU_123	3.0
OTU_346	0.0
OTU_1022	0.0
OTU_189	3.0
OTU_107	5.0
OTU_890	0.0
OTU_844	2.0
OTU_871	0.0
OTU_672	1.0
OTU_242	15.0
OTU_199	35.0
OTU_287	22.0
OTU_656	0.0
OTU_103	0.0
OTU_143	22.0
OTU_122	1.0
OTU_490	0.0
OTU_664	1.0
OTU_607	0.0
OTU_118	6.0
OTU_908	3.0
OTU_48	180.0
OTU_1005	0.0
OTU_292	1.0
OTU_1093	0.0
OTU_321	1.0
OTU_456	0.0
OTU_88	85.0
OTU_161	4.0
OTU_1115	4.0
OTU_135	0.0
OTU_561	0.0
OTU_667	1.0
OTU_412	0.0
OTU_94	2.0
OTU_210	3.0
OTU_159	9.0
OTU_364	0.0
OTU_284	1.0
OTU_572	5.0
OTU_202	29.0
OTU_131	38.0
OTU_384	0.0
OTU_331	1.0
OTU_63	0.0
OTU_701	0.0
OTU_347	20.0
OTU_401	1.0
OTU_212	20.0
OTU_700	3.0
OTU_821	3.0
OTU_526	2.0
OTU_322	0.0
OTU_567	0.0
OTU_62	11.0
OTU_688	0.0
